Document Number,Amount in local currency,Supplier,Document Type
110000283,-20.0,E001168,AB
Clearing Document 200002727,-120.0,,
110000271,-20.0,E001234,AB
110000272,-20.0,E001234,AB
110000273,-20.0,E001234,AB
110000274,-20.0,E001234,AB
110000275,-20.0,E001234,AB
110000276,-20.0,E001234,AB
110000277,-20.0,E001234,AB
Clearing Document 200002728,-140.0,,
110000262,-20.0,E001245,AB
110000263,-20.0,E001245,AB
110000264,-20.0,E001245,AB
110000265,-20.0,E001245,AB
110000266,-20.0,E001245,AB
110000267,-20.0,E001245,AB
110000268,-20.0,E001245,AB
110000269,-20.0,E001245,AB
110000270,-20.0,E001245,AB
Clearing Document 200002729,-180.0,,
110000252,-20.0,E001370,AB
110000253,-20.0,E001370,AB
110000254,-20.0,E001370,AB
110000255,-20.0,E001370,AB
110000256,-20.0,E001370,AB
110000257,-20.0,E001370,AB
110000258,-20.0,E001370,AB
110000259,-20.0,E001370,AB
110000260,-20.0,E001370,AB
110000261,-20.0,E001370,AB
Clearing Document 200002730,-200.0,,
110000286,-20.0,E001387,AB
110000287,-20.0,E001387,AB
110000288,100.5,E001387,AB
110000289,-20.0,E001387,AB
110000290,-20.0,E001387,AB
110000291,-20.0,E001387,AB
110000292,-20.0,E001387,AB
110000293,-20.0,E001387,AB
Clearing Document 200002731,-39.5,,
110000284,-2.0,E001544,AB
110000285,-199.89,E001544,AB
Clearing Document 200002732,-201.89,,
110000297,-850.0,E000638,AB
Clearing Document 200002734,-850.0,,
